Time	WSS(MB)
1	54
2	54
3	54
4	53
5	53
6	53
7	53
8	53
9	53
10	53
11	53
12	53
13	54
14	52
15	52
16	52
17	52
18	52
19	52
20	104
21	104
22	104
23	104
24	106
25	106
26	106
27	106
28	106
29	106
30	106
31	106
32	106
33	106
34	106
35	105
36	106
37	104
38	301
39	298
40	301
41	301
42	275
43	54
44	54
45	53
46	54
47	50
48	50
49	50
50	54
51	54
52	54
53	54
54	53
55	53
56	53
57	54
58	54
59	52
60	54
61	54
62	106
63	106
64	106
65	106
66	106
67	106
68	106
69	106
70	104
71	104
72	82
73	53
74	54
75	54
76	52
77	54
78	52
79	52
80	52
81	54
82	54
83	52
84	52
85	52
86	51
87	51
88	52
89	54
Time	Counter
89	9133
