Time	WSS(MB)
1	56
2	56
3	56
4	56
5	56
6	51
7	51
8	51
9	51
10	51
11	51
12	56
13	56
14	56
15	56
16	56
17	56
18	56
19	56
20	102
21	102
22	102
23	102
24	102
25	102
26	102
27	102
28	102
29	102
30	102
31	102
32	102
33	102
34	102
35	102
36	102
37	102
38	302
39	302
40	307
41	307
42	117
43	56
44	56
45	56
46	56
47	56
48	56
49	56
50	56
51	56
52	56
53	56
54	56
55	56
56	56
57	56
58	56
59	56
60	56
61	56
62	107
63	107
64	107
65	107
66	107
67	107
68	107
69	107
70	107
71	107
72	97
73	56
74	56
75	56
76	56
77	56
78	56
79	56
80	56
81	56
82	56
83	56
84	56
85	56
86	56
87	56
88	56
89	56
Time	Counter
89	23102
